iso3,year,indicator,domain,direction,value,z
AUS,1992,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1992,work_hours,Work,down,1724.85,0.024036999748081368
AUS,1992,unemployment,Work,down,10.733,-1.0258647993750036
AUS,1992,employment,Work,up,56.24,-0.1952396417752453
AUS,1992,pm25,Environment,down,6.35020500909293,1.259272618177472
AUS,1992,co2_pc,Environment,down,16.207693,-1.8326020518100654
AUS,1992,renewable,Environment,up,1.7475529,-0.5626520407554112
AUS,1992,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1992,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1992,adolescent_fert,Wellbeing,down,22.306,-0.9891066878763973
AUS,1993,gdp_pc,Material,up,36533.1468283451,-0.6950017365323254
AUS,1993,household_cons,Material,up,19877.498345095,0.07939878485086108
AUS,1993,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1993,life_expectancy,Health,up,77.8780487804878,-0.3568457170876969
AUS,1993,infant_mort,Health,down,6.3,-0.7784680272109897
AUS,1993,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1993,child_mort,Health,down,7.7,-0.78665854943886
AUS,1993,schooling,Knowledge,up,11.482,0.006376319532932533
AUS,1993,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1993,internet_users,Knowledge,up,1.97,-1.4501621616570195
AUS,1993,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1993,homicides,Safety,down,1.87892384044585,-0.03428167495488872
AUS,1993,suicide,Safety,down,12.83,0.3700532449141532
AUS,1993,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1993,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1993,gini,Equality,down,32.6,-0.23587674775231554
AUS,1993,gdi,Equality,up,0.963,-0.5846616747253043
AUS,1993,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1993,vdem_libdem,Freedom,up,0.849,0.6283029321952242
AUS,1993,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1993,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1993,civil_liberties,Freedom,up,0.952,0.383041793576417
AUS,1993,work_hours,Work,down,1740.43,-0.03451008017011186
AUS,1993,unemployment,Work,down,10.879,-1.0648728355861758
AUS,1993,employment,Work,up,55.787,-0.26669255245561074
AUS,1993,pm25,Environment,down,6.32334045442979,1.263255941531875
AUS,1993,co2_pc,Environment,down,16.294191,-1.8557399322504124
AUS,1993,renewable,Environment,up,1.7518849,-0.5623753833290666
AUS,1993,protected_areas,Environment,up,12.9,-0.9140112289385666
AUS,1993,life_eval,Wellbeing,up,7.345,0.8377819369186906
AUS,1993,adolescent_fert,Wellbeing,down,21.245,-0.884301436229834
AUS,1994,gdp_pc,Material,up,37622.6524772939,-0.6311142230751704
AUS,1994,household_cons,Material,up,20112.1498963001,0.10672995156850436
AUS,1994,broadband,Material,up,0.634119567582093,-1.117122397160273
AUS,1994,life_expectancy,Health,up,77.8780487804878,-0.3568457170876969
AUS,1994,infant_mort,Health,down,6.0,-0.6445985254218167
AUS,1994,maternal_mort,Health,down,9.0,0.02750087169323033
AUS,1994,child_mort,Health,down,7.3,-0.640102984063949
AUS,1994,schooling,Knowledge,up,11.496,0.017571780590247593
AUS,1994,tertiary_attain,Knowledge,up,19.9073342587382,-0.5787465719372972
AUS,1994,internet_users,Knowledge,up,2.23,-1.4428410774517035
AUS,1994,research_dev,Knowledge,up,1.66218,-0.3574877713791606
AUS,1994,homicides,Safety,down,1.7879658555513,0.0063342765768298285
AUS,1994,suicide,Safety,down,12.83,0.3700532449141532
AUS,1994,road_deaths,Safety,down,9.9,-0.13685174807508227
AUS,1994,political_stability,Safety,up,1.503766,1.158162183527107
AUS,1994,gini,Equality,down,32.6,-0.23587674775231554
AUS,1994,gdi,Equality,up,0.964,-0.540999142628118
AUS,1994,top_10_income,Equality,down,24.6,0.04962956670422328
AUS,1994,vdem_libdem,Freedom,up,0.848,0.6211539806835806
AUS,1994,press_freedom,Freedom,down,15.24,0.18110101023569436
AUS,1994,corruption,Freedom,up,85.0,0.9530396643695714
AUS,1994,civil_liberties,Freedom,up,0.952,0.383041793576417
